a,b800,c700
1,3.17e+01,3.64e+01
2,3.63e+01,3.92e+01
3,4.54e+01,4.11e+01
4,4.06e+01,4.44e+01
5,3.95e+01,4.27e+01
6,4.20e+01,4.22e+01
7,4.03e+01,3.50e+01
8,4.06e+01,3.98e+01
9,4.43e+01,3.79e+01
10,4.71e+01,3.92e+01
11,4.35e+01,4.48e+01
12,4.41e+01,4.47e+01
13,4.41e+01,4.48e+01
14,4.58e+01,4.74e+01
15,4.51e+01,4.77e+01
16,5.02e+01,5.16e+01
17,5.17e+01,5.25e+01
18,5.24e+01,5.57e+01
19,5.66e+01,5.61e+01
20,5.88e+01,5.53e+01
21,5.96e+01,5.95e+01
22,6.20e+01,7.25e+01
23,6.31e+01,7.95e+01
24,6.40e+01,8.34e+01
25,6.63e+01,7.53e+01
26,6.93e+01,7.34e+01
27,7.14e+01,8.08e+01
28,7.32e+01,7.14e+01
29,7.30e+01,7.86e+01
